number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,state
23,-0.6745048818427929,2022-08-29 19:11:07.811127,2022-08-29 19:11:18.424430,0 days 00:00:10.613303,5.747009610258892e-07,gbtree,0.0034854876038602476,4.953562878275477e-08,lossguide,0.008361366942851802,3,COMPLETE
24,0.6579234989632906,2022-08-29 19:11:18.425077,2022-08-29 19:11:32.212675,0 days 00:00:13.787598,7.99272031923675e-05,gbtree,0.01424860965250625,8.76196176720703e-06,lossguide,2.835159854849989e-05,4,COMPLETE
25,0.734366915111619,2022-08-29 19:11:32.213484,2022-08-29 19:11:42.711062,0 days 00:00:10.497578,0.0037683583432066826,gbtree,0.019357320302991744,1.1956217133116868e-08,lossguide,0.2548278985882459,3,COMPLETE
26,-0.9258618950078683,2022-08-29 19:11:42.711763,2022-08-29 19:11:49.840939,0 days 00:00:07.129176,2.791396153510351e-07,gbtree,0.002847991065201819,3.181443522095189e-07,depthwise,3.2539943641903425e-07,2,COMPLETE
27,-1.8516615990295313,2022-08-29 19:11:49.841684,2022-08-29 19:12:03.794370,0 days 00:00:13.952686,7.312447309858403e-06,gbtree,0.0002965660557115283,9.953986706862785e-07,lossguide,0.0011279544070468845,4,COMPLETE
28,-1.9968425245241719,2022-08-29 19:12:03.795086,2022-08-29 19:12:14.449127,0 days 00:00:10.654041,0.15576308523833876,gbtree,2.503323238544511e-05,5.00139029807217e-08,depthwise,0.12329903330084604,3,COMPLETE
29,0.5004344997078193,2022-08-29 19:12:14.449967,2022-08-29 19:12:21.630704,0 days 00:00:07.180737,7.898324868729093,gbtree,0.014496982602037805,2.6274729890828403e-05,lossguide,1.1753191197710998e-06,2,COMPLETE
30,0.4982198612774749,2022-08-29 19:12:21.631425,2022-08-29 19:12:32.032617,0 days 00:00:10.401192,6.487398020809407e-08,gbtree,0.01214041694476026,7.157526178203281e-06,lossguide,2.613986055513204e-05,3,COMPLETE
31,0.847994862489615,2022-08-29 19:12:32.033463,2022-08-29 19:12:42.507530,0 days 00:00:10.474067,2.934954311384272e-06,gbtree,0.03695420520565304,1.846573703812687e-07,lossguide,0.00030978341209088897,3,COMPLETE
32,0.8508540752422715,2022-08-29 19:12:42.508305,2022-08-29 19:12:53.339290,0 days 00:00:10.830985,7.47742202609179,gbtree,0.03957099243588004,1.2200604155223523e-07,lossguide,0.009232408266012208,3,COMPLETE
33,-0.9234671869952529,2022-08-29 19:12:53.340555,2022-08-29 19:13:03.945256,0 days 00:00:10.604701,26722.582745875832,gbtree,0.00263507088954783,6.347172374687403e-07,lossguide,0.0014063059806114404,3,COMPLETE
34,0.41884555867160417,2022-08-29 19:13:03.946386,2022-08-29 19:13:11.199507,0 days 00:00:07.253121,6.258054395830526e-07,gbtree,0.012721256239166144,2.9939550819511944e-08,lossguide,0.00012050452325765636,2,COMPLETE
35,-0.034680421393437244,2022-08-29 19:13:11.200301,2022-08-29 19:13:25.235599,0 days 00:00:14.035298,0.001785706431754367,gbtree,0.006209981474206883,1.3104133016502546e-07,depthwise,4.929893492820008e-06,4,COMPLETE
36,-2.0085215022616243,2022-08-29 19:13:25.237404,2022-08-29 19:13:36.011969,0 days 00:00:10.774565,65.18536260202103,gbtree,3.031960241022198e-06,0.00017233255859966742,depthwise,0.025697059025754452,3,COMPLETE
37,0.7855885109517313,2022-08-29 19:13:36.012922,2022-08-29 19:13:46.658768,0 days 00:00:10.645846,0.05417516205773358,gbtree,0.02332988849359291,3.758373087497505e-06,lossguide,0.35683793143477016,3,COMPLETE
38,0.006118026531171564,2022-08-29 19:13:46.660400,2022-08-29 19:14:00.810977,0 days 00:00:14.150577,1.953771255946069e-05,gbtree,0.006662924050164343,1.2723966573591665e-05,depthwise,30.764474816845745,4,COMPLETE
39,-0.8860829349734667,2022-08-29 19:14:00.812214,2022-08-29 19:14:18.843290,0 days 00:00:18.031076,1179.285567625781,gbtree,0.0025360362024128844,9.220566087759859e-07,depthwise,6.838978755220998e-07,5,COMPLETE
40,-0.10912793806082961,2022-08-29 19:14:18.845543,2022-08-29 19:14:26.175546,0 days 00:00:07.330003,2.4859250463949217e-06,gbtree,0.006805132187888963,2.668837585284033e-08,lossguide,6.000376871932237e-08,2,COMPLETE
41,0.8402584806526923,2022-08-29 19:14:26.176588,2022-08-29 19:14:36.617204,0 days 00:00:10.440616,1.1905971993986527e-07,gbtree,0.0336370554670362,1.737910817755523e-06,lossguide,1.0148633012141477e-05,3,COMPLETE
42,0.8576388544253183,2022-08-29 19:14:36.617915,2022-08-29 19:14:47.152009,0 days 00:00:10.534094,5.89991949210014e-08,gbtree,0.046571357254122175,2.746227397233614e-07,lossguide,2.19151999403872e-05,3,COMPLETE
43,0.7558071193632138,2022-08-29 19:14:47.153060,2022-08-29 19:14:57.804425,0 days 00:00:10.651365,4.0241979147366515e-08,gbtree,0.02071047369225986,2.2343733739212654e-07,lossguide,3.8756990273170295e-05,3,COMPLETE
44,0.8542062463794762,2022-08-29 19:14:57.805213,2022-08-29 19:15:08.698980,0 days 00:00:10.893767,4.444609032986711e-05,gbtree,0.041928359182731884,7.52472558404271e-08,lossguide,0.003839498044248943,3,COMPLETE
45,0.13000962409567537,2022-08-29 19:15:08.701296,2022-08-29 19:15:19.462157,0 days 00:00:10.760861,1.0285292673476632e-08,gbtree,0.007799850487581929,6.057066411940493e-08,depthwise,0.0025109012790110272,3,COMPLETE
46,-2.009902348405913,2022-08-29 19:15:19.464404,2022-08-29 19:15:34.000611,0 days 00:00:14.536207,3.3184795960816476e-05,gbtree,4.2368766630678343e-07,0.44808909520285634,lossguide,0.03597011856667389,4,COMPLETE
47,0.8586638655476385,2022-08-29 19:15:34.002847,2022-08-29 19:15:45.003718,0 days 00:00:11.000871,1.1050080791591734e-06,gbtree,0.04814565987244651,1.3385137609282268e-08,lossguide,0.004296534227857808,3,COMPLETE
48,0.45637037539841047,2022-08-29 19:15:45.005891,2022-08-29 19:15:59.312746,0 days 00:00:14.306855,7.778051484874638e-07,gbtree,0.010516502304999138,1.775687826587871e-08,lossguide,0.0001115923936188009,4,COMPLETE
49,-1.416170117308425,2022-08-29 19:15:59.315017,2022-08-29 19:16:07.267076,0 days 00:00:07.952059,5.280725830756851e-08,gbtree,0.020123502048705864,5.43816444070236e-07,depthwise,931952.4452353505,3,COMPLETE
50,-1.777401061535252,2022-08-29 19:16:07.269308,2022-08-29 19:16:25.202591,0 days 00:00:17.933283,0.8213719246923259,gbtree,0.00043065060439843015,0.010059395087782776,lossguide,0.7378291017498196,5,COMPLETE
51,0.8576447639428149,2022-08-29 19:16:25.204995,2022-08-29 19:16:35.910358,0 days 00:00:10.705363,1.2931906599490505e-06,gbtree,0.047089736978333914,5.704522236482832e-08,lossguide,0.013295479078798354,3,COMPLETE
52,0.8585508347799204,2022-08-29 19:16:35.911167,2022-08-29 19:16:46.575396,0 days 00:00:10.664229,2.2916643863141143e-06,gbtree,0.04778700019185486,1.9281468770304778e-08,lossguide,0.0643307804160157,3,COMPLETE
53,-0.43161622744310674,2022-08-29 19:16:46.577210,2022-08-29 19:16:57.113673,0 days 00:00:10.536463,1.8148431634919702e-06,gbtree,0.004466513870417153,2.322372434720783e-08,lossguide,0.07571589119935875,3,COMPLETE
